,image_path,label
0,dataset\raw-img\chicken\OIP-6ohC-3M5tJPyG_mSrLABQQHaFj.jpeg,2
1,dataset\raw-img\spider\eb33b8082ff0083ed1584d05fb1d4e9fe777ead218ac104497f5c97ca5ecb5b1_640.jpg,8
2,dataset\raw-img\cat\1789.jpeg,1
3,dataset\raw-img\butterfly\OIP-InpDYaqSa5teamy18MEdyAHaFj.jpeg,0
4,dataset\raw-img\elephant\e834b60f29f4023ed1584d05fb1d4e9fe777ead218ac104497f5c978a4efbcb0_640.jpg,5
5,dataset\raw-img\sheep\OIP-ObGlnPV8HOFCnUonD3VFgAHaD_.jpeg,7
6,dataset\raw-img\spider\OIP-A7ra_acIRznR8uLTW5sgOgDYEg.jpeg,8
7,dataset\raw-img\chicken\OIP-Kmdgf2jvJKqQxmSmQSCvlAHaFj.jpeg,2
8,dataset\raw-img\sheep\OIP-g0ohDq6qAywHjGTr321ZFQHaFj.jpeg,7
9,dataset\raw-img\horse\OIP-7YnrV2CegztPYTJCfTLBcwHaE2.jpeg,6
10,dataset\raw-img\dog\OIP-p9HAEAbOJ21AIEl8NkUbfwHaFj.jpeg,4
11,dataset\raw-img\squirrel\OIP-NWumR35T42orC8rLAc_L8AHaFk.jpeg,9
12,dataset\raw-img\elephant\eb35b50d20f7003ed1584d05fb1d4e9fe777ead218ac104497f5c978a4efb4bb_640.jpg,5
13,dataset\raw-img\cat\1313.jpeg,1
14,dataset\raw-img\spider\OIP-llPusDwZj8LJs98rmiaZyQHaE6.jpeg,8
15,dataset\raw-img\dog\OIP-I5gLe412sC2G0cm9OY_rMAHaE8.jpeg,4
16,dataset\raw-img\chicken\OIP-dVPLbJ9LDT9LxuHQ287jawHaFj.jpeg,2
17,dataset\raw-img\elephant\OIP-o0z2wFzmeix-TVx47WYM1wHaFj.jpeg,5
18,dataset\raw-img\horse\OIP-4HLihQd4NQsr603huinuRwHaHa.jpeg,6
19,dataset\raw-img\butterfly\OIP-2QATmwRRIPa3WQyqfNpCXwHaFb.jpeg,0
20,dataset\raw-img\horse\OIP-Pn4vO_qLHlTTou0P4ap48QAAAA.jpeg,6
21,dataset\raw-img\spider\ec35b10f29f01c22d2524518b7444f92e37fe5d404b0144390f8c47ba6ebb4_640.jpg,8
22,dataset\raw-img\chicken\OIP-iJCLNAA2-_r25C0zPf7fYwHaDn.jpeg,2
23,dataset\raw-img\dog\OIP-3AS8_VYncvotItEQ9KXS3QHaFj.jpeg,4
24,dataset\raw-img\squirrel\OIP-imTy2i-mYjMw1ARYI_6iswHaFl.jpeg,9
25,dataset\raw-img\spider\OIP-MSrOfbaLcKUYRA47SQIlVAHaNK.jpeg,8
26,dataset\raw-img\sheep\OIP--L_f4z7c4uHZX00noZdIVwAAAA.jpeg,7
27,dataset\raw-img\sheep\OIP-GgC74X3eaAn2BK0uJ-n0LQHaE6.jpeg,7
28,dataset\raw-img\dog\OIP-T_Vsi1yq0AS42uXflq9R4gHaJd.jpeg,4
